sequence,HVU1_급기_온도,R_HVU1_급기_온도,HVU1_혼합_온도,R_HVU1_혼합_온도,외기온도,R_외기온도,HVU1_급기_습도,R_HVU1_급기_습도,HVU1_환기_온도,R_HVU1_환기_온도
642,15.16893387,16,29.84574127,31,27.08532715,28,30.80615807,29,29.0923996,29
643,16.16420746,17,27.90828705,29,26.03920746,27,31.60768318,29,29.04059029,29
644,16.04732132,17,26.91592598,28,25.04057884,26,32.41537476,30,29.04059029,29
645,15.1298933,16,25.90903282,27,30.97372818,32,34.03977585,32,30.76512146,31
646,14.26152229,15,27.64570427,29,35.45431519,37,31.60776711,28,27.94264793,28
647,15.16893387,16,28.88544846,30,30.98064423,32,31.60776711,29,29.04059029,29
648,13.4641304,14,28.2337265,29,30.98086166,32,31.60776711,29,32.3029213,33
649,15.16893387,16,27.90828705,29,28.08147049,29,32.41447449,30,30.09837151,30
650,17.23646736,18,26.91592598,28,31.02981758,31,31.60776711,29,32.23513031,33
651,13.46675205,13,28.69534111,30,33.0333786,34,30.80617142,28,28.10844994,28
652,15.16893387,16,25.95379448,27,25.09598541,26,31.60776711,29,31.46012306,32
653,15.16893387,16,30.8931694,31,30.97422218,32,33.22689056,31,29.82591248,31
654,16.12466431,17,26.96057129,28,29.0666275,30,31.60776711,29,33.00749207,33
655,12.91942883,14,31.70544434,33,34.63768387,36,33.22689056,31,28.10844994,28
656,14.26578236,15,27.21022224,28,25.09598541,26,32.41537476,30,29.04059029,29
657,15.15081596,16,31.52144051,33,25.09598541,26,30.80615616,28,30.78771782,31
658,16.90565681,17,24.88716316,26,28.08039474,30,32.41537476,30,32.92974472,34
659,14.2906971,15,27.90828705,29,28.07839584,29,33.22447968,31,28.10844994,28
660,12.77764988,12,30.52711678,32,31.89751816,33,32.41537476,30,29.14333153,29
661,13.49500465,14,27.3688488,29,29.0734005,29,32.41537476,30,27.14966393,27
662,14.26578236,15,32.23335266,34,25.09598541,26,32.41537476,30,30.7396965,31
663,12.90599537,13,26.91592598,28,33.00386429,35,31.60776711,29,29.04059029,29
664,15.16893387,16,28.88544846,30,35.45431519,36,34.04014969,31,28.99761581,29
665,15.16893387,16,28.35936737,29,28.08146858,29,33.22689056,31,29.04059029,29
666,13.44312954,14,26.91592598,28,26.08852768,27,31.60776711,29,28.16353798,28
667,16.09310913,17,30.8931694,32,28.08147049,29,32.41537476,30,30.70016098,31
668,15.22448349,16,26.01783562,28,29.07077789,31,31.60776711,29,29.04059029,29
669,14.42965508,15,25.90903282,27,32.78984451,34,34.03316116,32,29.98036385,30
670,15.16893387,16,27.90828705,29,33.77552795,34,32.41537476,30,30.56688499,32
671,12.78355026,14,25.90903282,27,27.04669952,28,30.80615616,28,27.9869709,28
672,15.16893387,15,30.45574379,32,28.08162689,29,32.41537476,30,28.07133675,28
673,13.45495224,14,30.22494698,32,31.99315453,33,32.41401291,30,31.34596252,32
674,14.2906971,15,29.06576347,30,33.76536942,35,33.22689056,31,27.13483429,27
675,14.27935505,15,31.70544434,33,28.14756775,29,31.60776711,29,29.92722702,30
676,16.04732132,17,26.91592598,28,25.09598541,26,34.04014587,32,31.66192818,32
677,13.46675205,14,30.34089088,32,25.09618759,26,32.41537476,30,31.52981949,33
678,16.04732132,17,29.38677788,31,33.78160477,35,31.60777473,29,29.74762154,30
679,15.16893387,15,29.39257431,31,27.08549881,28,34.85293579,33,31.34972382,32
680,15.16893387,16,28.35936737,29,26.08858109,27,31.60776711,29,27.94264793,28
681,15.16893387,16,28.88544846,30,30.07825851,31,32.41537476,30,28.10844994,28
682,16.12466431,17,27.79138565,29,23.43341446,24,34.04014969,32,29.97142792,30
683,16.16420746,17,27.9526825,29,25.0932579,26,30.80615616,28,31.5518856,32
684,16.16420746,17,27.02513695,28,23.43371391,24,32.41537476,30,29.04059029,29
685,16.12466431,17,26.91592598,28,35.45431519,37,31.60776711,29,29.04059029,29
686,15.16893387,16,28.4738369,30,32.85367584,34,32.41537476,30,28.92926025,29
687,14.26578236,16,29.43568039,29,30.07752991,31,32.41574097,30,30.06115723,30
688,15.97200108,17,27.90828705,29,32.87665939,34,33.22689056,31,30.80428696,31
689,13.4641304,14,26.91592598,28,31.06627846,33,31.60776711,29,32.26696014,33
690,12.18182373,12,29.72698212,30,34.69316101,36,32.41574097,30,29.92722702,30
691,16.16420746,17,26.91592598,28,27.08665848,28,30.81311798,28,28.10844994,28
692,15.16893387,16,25.34463882,26,35.45431519,37,32.41544342,30,33.41225433,35
693,16.16420746,17,30.82920074,31,23.43341446,24,30.80615616,28,33.58911514,35
694,15.04851913,16,28.16096115,29,32.88630295,35,33.22689056,32,28.10844994,28
695,12.22147274,12,25.57897186,27,33.79905319,35,34.04014969,32,31.5518856,32
696,15.16893387,16,25.499897,27,30.03704071,31,33.22736359,30,30.76512146,31
697,15.16893387,15,25.90903282,27,27.08765793,28,31.60776711,29,27.13483429,27
698,16.16420746,17,25.90903282,27,25.09604454,26,32.41537476,30,28.88720894,29
699,15.16893387,16,26.91592598,28,32.94852448,34,32.41537476,30,27.13483429,27
700,13.47609997,14,27.86007118,30,25.04144478,26,33.22689056,31,33.50653458,35
701,14.51314831,15,31.12494278,31,30.05244827,32,31.60776711,29,30.76512146,31
702,15.04130554,15,25.90903282,27,26.14165497,28,34.03316116,32,30.92719078,31
703,15.16893387,16,26.91592598,28,26.08722496,27,34.04014969,33,30.70016098,32
704,15.20950985,16,29.84574127,31,24.11353302,25,33.23391342,31,29.184412,30
705,15.16376591,16,29.51187706,31,31.96464157,33,32.41537476,30,29.04059029,29
706,12.78355026,12,25.90903282,27,29.06649017,30,33.22689056,32,28.10844994,28
707,16.16420746,17,27.45350647,28,31.02470779,32,31.60776711,29,30.82448769,31
708,16.04732132,17,28.3135643,29,25.09567261,27,31.60776711,29,27.13483429,27
709,15.16893387,16,28.38404083,30,28.08185387,29,31.60776711,29,27.13483429,27
710,13.6384201,14,27.69221878,29,35.27096939,37,31.60015488,29,28.34701538,28
711,17.24448395,18,29.38739395,31,33.74441528,35,31.60776711,29,28.10844994,28
712,14.38126087,15,25.90903282,27,31.94293213,33,30.80615616,28,28.10844994,29
713,15.19521523,16,25.90903282,27,32.00536728,33,32.41537476,30,31.4942131,32
714,12.82453537,13,27.90828705,29,24.10992622,25,31.60843277,29,32.21263123,33
715,13.32652283,14,25.90903282,27,24.11275291,25,30.80615616,28,28.10844994,28
716,15.46655941,16,29.84574127,31,25.09598541,27,30.80615616,28,29.05214882,29
717,14.26255703,15,28.7574234,31,34.02078247,34,31.60848236,29,29.92722702,29
718,14.26002407,15,29.84574127,31,27.08532715,28,33.22689056,31,27.13483429,27
719,12.82453537,13,26.50528908,28,25.09619522,26,31.60776711,29,30.92195129,31
720,16.16420746,17,27.16762733,28,30.03794479,31,31.60015488,29,28.92926025,29
721,15.31457043,15,26.91592598,28,30.07825851,32,32.41537476,30,31.98065186,32
722,15.92950153,16,28.88544846,30,33.76340866,35,31.60843277,29,28.18946075,28
723,13.4641304,14,25.90903282,27,24.11297989,26,34.04009247,32,29.99354362,30
724,13.52837753,14,25.90903282,27,32.88672638,33,32.41537476,30,29.92722702,31
725,15.92446613,16,27.90828705,29,26.08852768,27,32.41537476,30,32.11481094,33
726,16.16420746,17,28.88544846,30,26.08765602,27,31.60776711,29,27.22338104,27
727,15.22448349,16,28.01757431,29,32.88672638,34,31.60776711,28,27.94264793,28
728,14.26578236,16,25.90903282,27,26.0895443,27,31.60777473,29,31.73573303,32
729,16.16014862,18,26.01783562,27,34.71485138,36,32.41537476,30,33.58037567,35
730,15.1298933,16,26.91592598,28,26.08896065,27,31.60776711,29,30.86320877,31
731,15.16893387,16,28.53864288,29,30.04055214,31,33.22689056,31,31.43437386,32
732,15.16893387,16,26.31278038,27,32.71040344,35,31.60775948,29,29.79363441,30
733,12.78355026,13,27.16762733,28,26.03777504,27,34.85293198,33,28.16353798,28
734,15.16893387,16,26.91592598,28,34.6362915,36,31.60769463,29,26.14837074,27
735,15.16893387,16,26.91592598,28,31.0180645,33,30.80615616,28,30.09995842,29
736,15.34761143,16,28.3135643,29,32.89709473,34,31.60776711,29,30.65719032,31
737,13.4641304,14,29.73020935,31,31.89972496,33,31.60776711,29,28.10844994,28
738,15.16893387,16,26.91592598,28,34.63344574,36,32.41537476,30,32.29230881,33
739,15.27015686,16,31.1824913,32,25.09604454,26,32.41537476,30,29.04059029,29
740,14.08395004,15,28.88544846,29,23.43450546,24,34.04014969,32,29.04059029,29
741,16.12466431,17,26.91592598,28,32.88672638,34,32.41537476,30,29.92722702,29
742,15.16893387,16,25.90903282,27,35.44777679,37,33.22882462,31,31.5518856,32
743,15.16893387,16,26.79906464,28,33.95098877,35,34.04014969,32,29.04059029,29
744,16.16420746,17,25.90903282,27,25.09598541,26,34.04694748,32,29.92722702,30
745,14.24735069,15,30.69529915,31,29.07216072,30,33.22689056,31,33.47520065,34
746,14.30867481,15,28.08880997,29,33.77961349,35,32.41537476,30,29.04059029,29
747,12.21399593,12,27.49811745,28,23.05854034,23,31.61517143,29,28.10844994,28
748,16.16420746,17,30.74065208,32,26.08858109,26,31.60776711,29,29.92722702,30
749,16.2487011,18,27.90828705,28,31.0179615,33,31.60784721,29,27.19561005,27
750,12.11479187,12,28.88544846,30,27.08532715,28,32.41537476,30,29.81303596,30
751,15.16893387,16,29.39592171,30,35.45431519,37,30.80615616,28,27.17153931,27
752,14.91257954,17,30.02491188,31,26.08769608,27,33.22689056,31,29.85457611,30
753,14.26578236,14,28.88544846,30,25.04144478,26,32.41453934,30,32.25268555,34
754,15.16893387,16,27.90828705,29,26.08896065,27,31.61517143,29,26.12458229,26
755,15.22448349,15,25.95379448,27,30.0640831,32,32.41537476,30,29.05214882,29
756,15.16893387,16,27.16762733,28,23.43341446,24,32.4159317,30,29.04059029,29
757,15.16376591,16,27.90828705,29,24.11323547,25,30.80865479,28,27.11794472,27
758,15.16893387,17,29.34765816,31,31.9165535,34,32.41537476,30,31.43452072,32
759,13.56611919,14,26.45940781,28,29.07828522,30,31.60776711,29,27.17153931,27
760,15.16893387,16,30.8931694,32,31.96211433,32,32.41537476,30,30.7396965,32
761,16.16420746,17,26.91592598,28,24.11275482,25,33.22695541,30,26.99391937,26
762,15.16893387,16,29.13801384,30,24.11275291,25,30.80617142,28,27.13483429,27
763,15.16893387,16,29.58375549,31,27.085495,28,31.60639763,29,29.34003639,29
764,14.26152229,16,26.08785057,27,29.0783596,30,32.41537476,30,27.91049194,28
765,13.51600075,14,27.57423401,29,31.03487968,32,31.60776711,29,29.09012032,29
766,14.26307011,15,28.62253952,30,32.05452347,33,33.22689056,31,31.5518856,32
767,14.22036266,15,26.91592598,28,26.14159203,27,32.41537476,30,32.95042038,35
768,13.44364738,14,26.91592598,28,31.96714211,33,33.22689056,31,30.88614273,31
769,16.14699554,17,25.90903282,27,23.43341446,24,33.21761703,31,29.22035027,29
770,15.16893387,16,28.88544846,30,27.08219147,27,33.22688675,31,29.92722702,30
771,12.78355026,13,28.92942047,30,31.00343132,33,31.60776711,29,29.92722702,30
772,12.72128391,13,25.90903282,27,25.09598541,26,30.80615616,28,27.13483429,27
773,15.28822803,16,26.77376938,28,35.45642853,37,31.60776711,29,29.69390488,30
774,15.16893387,16,25.90903282,27,32.77074814,34,31.60768318,30,29.00759888,29
775,15.16893387,16,28.88544846,30,26.03920937,27,32.41537476,30,29.04059029,29
776,15.09551525,16,28.08880997,29,23.05501556,23,31.60776711,29,29.04059029,29
777,14.26578236,15,26.91592598,28,29.07216072,30,31.60776711,29,32.90171814,34
778,16.16420746,17,25.90903282,27,27.0841465,29,30.80615616,28,29.92722702,29
779,12.13732624,12,32.20694351,33,25.09598541,26,31.60776711,29,30.76512146,32
780,15.16893387,16,29.13801384,30,25.09598541,25,33.22643661,31,28.10844994,28
781,16.16420746,17,24.88716316,26,30.98148918,32,31.60843277,29,31.62797546,31
782,15.16852665,16,26.91592598,28,32.05453873,32,34.03652191,32,28.10844994,28
783,15.16852665,16,30.09687996,30,26.088974,27,33.22689056,31,30.76512146,31
784,15.47935581,17,25.95379448,27,24.05614853,25,32.41482925,30,29.04059029,29
785,15.16893387,16,26.26342773,27,25.09619522,26,32.41537476,30,31.54341888,32
786,13.4641304,14,26.45940781,28,25.09598541,26,32.41537476,30,26.95677567,27
787,13.45031452,14,24.88716316,26,27.08532715,27,34.04009247,32,27.13483429,27
788,16.16420746,17,28.88544846,30,28.08230782,29,31.60776711,29,28.10844994,28
789,12.75570965,13,28.40308762,29,29.10348892,30,31.60776711,29,32.08042145,33
790,15.16376591,16,28.4738369,30,32.8536644,35,33.22689056,31,27.20039368,27
791,15.16893387,16,28.42481995,30,23.05854034,23,31.60776711,29,28.09345627,28
792,15.16893387,16,26.65465355,28,34.57594681,36,31.60843468,30,29.04059029,29
793,12.75698948,13,29.58375549,31,23.06764221,23,31.60118294,30,29.04059029,28
794,14.27680302,15,28.62253952,30,35.45431519,37,31.61412239,29,29.92722702,30
795,15.16893387,16,31.52144051,33,31.96714211,33,34.04014969,32,29.95303726,30
796,14.27935505,15,26.91592598,28,23.43415833,24,31.60776711,29,29.184412,29
797,16.16420746,17,31.6605587,33,30.0537281,31,30.80617142,28,29.04059029,29
798,16.16420746,17,25.90903282,28,32.89977646,34,31.60784721,29,28.10844994,28
799,14.26578236,15,28.35936737,29,26.08852768,27,30.80615616,28,29.30410194,29
800,15.12603378,16,27.90828705,29,35.46166611,37,31.60776711,29,28.95992661,29
801,16.16420746,17,30.16913605,30,23.43354034,24,32.42259216,30,30.76512146,31
